"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_1416"|"acute myocardial infarction"|"Diagnosis / Condition / Problem"|"diagnosis active"|"N_c460"|"GROUPING"||"N_c138, N_c139, N_c191"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_445"|"acute myocardial infarction"|"Diagnosis / Condition / Problem"|"diagnosis active"|"N_c139"|"ICD-10-CM"|"06/2009"|"I21.0, I21.09, I21.11, I21.19, I21.29, I21.3, I21.4"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_446"|"acute myocardial infarction"|"Diagnosis / Condition / Problem"|"diagnosis active"|"N_c138"|"ICD-9-CM"|"06/2009"|"410.01, 410.11, 410.21, 410.31, 410.41, 410.51, 410.61, 410.71, 410.81, 410.91"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_525"|"acute myocardial infarction"|"Diagnosis / Condition / Problem"|"diagnosis active"|"N_c191"|"SNOMED-CT"|"07/2009"|"10273003, 15990001, 194798004, 194809007, 22298006, 233825009, 233826005, 233827001, 233828006, 233829003, 233830008, 233831007, 233832000, 233833005, 233834004, 233835003, 233836002, 233837006, 233838001, 282006, 30277009, 304914007, 307140009, 401303003, 401314000, 52035003, 54329005, 57054005, 58612006, 59063002, 62695002, 64627002, 65547006, 70211005, 70422006, 70998009, 73795002, 76593002, 79009004"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_361"|"birthdate"|"Individual characteristic"|"patient characteristic"|"N_c8"|"HL7"|"3.0"|"00110"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_448"|"CABG"|"Procedure"|"procedure performed"|"N_c140"|"CPT"|"06/2009"|"33510, 33511, 33512, 33513, 33514, 33516, 33517, 33518, 33519, 33521, 33522, 33523, 33533, 33534, 33535, 33536"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_1417"|"CABG"|"Procedure"|"procedure performed"|"N_c461"|"GROUPING"||"N_c140, N_c141, N_c142, N_c143"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_449"|"CABG"|"Procedure"|"procedure performed"|"N_c141"|"HCPCS"|"06/2009"|"S2205, S2206, S2207, S2208, S2209"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_451"|"CABG"|"Procedure"|"procedure performed"|"N_c142"|"ICD-9-CM"|"06/2009"|"36.1, 36.10, 36.11, 36.12, 36.13, 36.14, 36.15, 36.16, 36.17, 36.19, 36.2"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_452"|"CABG"|"Procedure"|"procedure performed"|"N_c143"|"SNOMED-CT"|"07/2009"|"10326007, 108220007, 108221006, 12843005, 209099002, 30346009, 37894004, 39202005, 4525004, 69399002, 74371005, 83362003, 86181006"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_460"|"encounter acute inpt"|"Encounter"|"encounter"|"N_c26"|"CPT"|"06/2009"|"99221, 99222, 99223, 99231, 99232, 99233, 99238, 99239, 99251, 99252, 99253, 99254, 99255, 99291"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_1801"|"Encounter acute inpt and outpt"|"Encounter"|"encounter"|"N_c499"|"GROUPING"|"06/2009"|"N_c159, N_c26, N_c27"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_467"|"encounter outpatient"|"Encounter"|"encounter"|"N_c27"|"CPT"|"06/2009"|"99201, 99202, 99203, 99204, 99205, 99211, 99212, 99213, 99214, 99215, 99217, 99218, 99219, 99220, 99241, 99242, 99243, 99244, 99245, 99341, 99342, 99343, 99344, 99345, 99347-99350, 99384, 99385, 99386, 99387, 99394, 99395, 99396, 99397, 99401, 99402, 99403, 99404, 99411, 99412, 99420, 99429, 99455, 99456"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_468"|"encounter outpatient"|"Encounter"|"encounter"|"N_c159"|"ICD-9-CM"|"06/2009"|"V70.0, V70.3, V70.5, V70.6, V70.8, V70.9"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_475"|"High Density Lipoprotein (HDL)"|"Laboratory test"|"laboratory test performed"|"N_c183"|"CPT"|"06/2009"|"83701"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_1419"|"High Density Lipoprotein (HDL)"|"Laboratory test"|"laboratory test performed"|"N_c465"|"GROUPING"||"N_c183, N_c184, N_c185"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_476"|"High Density Lipoprotein (HDL)"|"Laboratory test"|"laboratory test performed"|"N_c184"|"LOINC"|"06/2009"|"14646-4, 18263-4, 2085-9"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_477"|"High Density Lipoprotein (HDL)"|"Laboratory test"|"laboratory test performed"|"N_c185"|"SNOMED-CT"|"07/2009"|"104583003, 121791001, 121792008, 121868005, 16254007, 166832000, 166838001, 166839009, 167072001, 167073006, 17888004, 252150008, 28036006, 314035000, 412808005, 77068002"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_1420"|"ischemic vascular disease"|"Diagnosis / Condition / Problem"|"diagnosis active"|"N_c462"|"GROUPING"||"N_c131, N_c132, N_c564"|"datetime"
"0075"|"Ischemic Vascular Disease (IVD): LDL Management & Control"|"N_454"|"ischemic vascular disease"|"Diagnosis / Condition / Problem"|"diagnosis active"|"N_c132"|"ICD-10-CM"|"06/2009"|"I20.0, I20.8, I24, I24.8, I25.1, I25.70, I25.72, I25.720, I25.73, I25.75, I25.82, I25.89, I25.9, I65, I65.0, I65.1, I65.2, I65.8, I65.9, I66, I66.9, I70.1, I70.21, I70.22, I70.23, I70.26, I70.29, I70.92, I74, I74., I74.11, I74.2, I74.3"|"datetime"
