"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_397"|"Anti-D Immune Globulin"|"Medication"|"medication administered"|"A_c161"|"RxNorm"|"12/2009"|"205066 , 247769 , 351100, 406388 , 562566 , 616759 , 731378 , 731381"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_1500"|"Anti-D Immune Globulin Declined"|"Negation Rationale"|"medication not done"|"A_c479"|"SNOMED-CT"|"07/09"|"408786004"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_395"|"D(Rh) Negative"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c159"|"GROUPING"||"A_c536, A_c537, A_c538"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_7032"|"D(Rh) Negative"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c537"|"ICD-10-CM"|"2010"|"036.0130, 036.0131, 036.0132, 036.0133, 036.0134, 036.0135, 036.0139, O36.0120, O36.0121, O36.0122, O36.0123, O36.0124, O36.0125, O36.0129"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_7079"|"D(Rh) Negative"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c538"|"ICD-9-CM"|"2010"|"656.10, 656.11"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_7046"|"D(Rh) Negative"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c536"|"SNOMED-CT"|"July 2010"|"165746003, 278148006, 278152006, 278153001, 278154007, 428309004"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_1327"|"Delivery Live Births-Diagnosis"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c394"|"GROUPING"||"A_c442, A_c87, A_c88"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_216"|"Delivery Live Births-Diagnosis"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c88"|"ICD-10-CM"|"2010"|"E07, F10, I10, N96, O10.2, O10.21, O10.211, O10.212, O10.213, O10.219, O10.41, O10.412, O10.413, O10.419, O13, O14, O14.00, O14.02, O14.03, O15, O15.0, O15.00, O15.02, O15.03, O16, O16.1, O16.2, O16.3, O16.9, O21.2, O21.8, O24, O26, O26.0, O26.5, O26.6, O26.82, O26.83, O26.84, O26.85, O30, O30.0, O30.1, O30.2, O30.9, O31.0, O31.2, O31.20, O31.3, O32, O32.1, O32.2, O32.3, O32.4, O33, O33.0, O33.1, O33.2, O33.4, O33.5, O33.6, O33.7, O33.8, O33.9, O34.0, O34.1, O34.3, O34.4, O34.5, O34.52, O34.59, O34.6, O34.7, O34.8, O35, O35.1, O35.2, O35.3, O35.5, O35.6, O35.8, O36.0, O36.1, O36.5, O36.6, O36.81, O41, O43.1, O43.8, O44, O44.1, O45, O45.01, O45.011, O45.012, O45.013, O46, O48.0, O48.1, O60.10, O61, O61.1, O61.8, O61.9, O62.0, O62.1, O62.2, O62.3, O62.4, O62.9, O63.0, O63.1, O63.2, O63.9, O64.0, O64.4, O64.9, O65, O65.8, O66.0, O66.1, O66.4, O66.5, O66.8, O66.9, O69.0, O69.1, O69.2, O69.3, O69.4, O69.5, O69.8, O69.9, O70.0, O70.1, O70.2, O70.3, O70.9, O71, O71.1, O71.3, O71.4, O71.5, O71.7, O71.8, O71.9, O72.0, O72.1, O72.2, O72.3, O73, O73.1, O74, O74.1, O74.2, O74.3, O74.8, O74.9, O75.0, O75.1, O75.2, O75.3, O75.5, O77, O90.4, O90.8, O90.89, O98, O98.01, O98.1, O98.2, O98.211, O98.212, O98.213, O98.219, O98.3, O98.31, O98.8, O99, O99.32, O99.33, O99.4, O99.81, O99.810, O99.814, O99.815, P01.1, P01.2, P01.3, P02.1, P03.2, P03.3, P03.4, P03.9, P29, P29.8, P39.2"|"datetime"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_215"|"Delivery Live Births-Diagnosis"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c87"|"ICD-9-CM"|"2009"|"641.01, 641.11, 641.21, 641.31, 641.81, 641.91, 642.01, 642.02, 642.11, 642.12, 642.21, 642.22, 642.31, 642.32, 642.41, 642.42, 642.51, 642.52, 642.61, 642.62, 642.71, 642.72, 642.91, 642.92, 643.21, 643.81, 644.21, 645.11, 645.21, 646.01, 646.11, 646.12, 646.21, 646.22, 646.31, 646.41, 646.42, 646.71, 646.91, 647.01, 647.02, 647.11, 647.12, 647.21, 647.22, 647.31, 647.32, 647.41, 647.42, 647.51, 647.52, 647.61, 647.62, 647.81, 647.82, 647.91, 647.92, 648.01, 648.02, 648.11, 648.12, 648.21, 648.22, 648.31, 648.32, 648.41, 648.42, 648.51, 648.52, 648.61, 648.62, 648.71, 648.72, 648.81, 648.82, 648.91, 648.92, 649.01, 649.02, 649.11, 649.12, 649.21, 649.22, 649.31, 649.32, 649.41, 649.42, 649.51, 649.61, 649.62, 65.621, 651.01, 651.11, 651.21, 651.31, 651.41, 651.51, 651.61, 651.71, 651.81, 651.91, 652.01, 652.11, 652.21, 652.31, 652.41, 652.51, 652.61, 652.71, 652.81, 652.91, 653.01, 653.11, 653.21, 653.31, 653.41, 653.51, 653.61, 653.71, 653.81, 653.91, 654.01, 654.02, 654.11, 654.12, 654.31, 654.32, 654.41, 654.42, 654.51, 654.52, 654.61, 654.62, 654.71, 654.72, 654.81, 654.82, 654.91, 654.92, 655.01, 655.11, 655.21, 655.31, 655.41, 655.51, 655.61, 655.71, 655.81, 655.91, 656.01, 656.11, 656.31, 656.51, 656.61, 656.71, 656.81, 656.91, 657.01, 658.01, 658.11, 658.21, 658.31, 658.41, 658.81, 658.91, 659.01, 659.11, 659.21, 659.31, 659.41, 659.51, 659.61, 659.71, 659.81, 659.91, 660.01, 660.11, 660.21, 660.31, 660.41, 660.51, 660.61, 660.71, 660.81, 660.91, 661.01, 661.11, 661.21, 661.31, 661.41, 661.91, 662.01, 662.11, 662.21, 662.31, 663.01, 663.11, 663.21, 663.31, 663.41, 663.51, 663.61, 663.81, 663.91, 664.01, 664.11, 664.21, 664.31, 664.41, 664.51, 664.61, 664.81, 664.91, 665.01, 665.11, 665.31, 665.41, 665.51, 665.61, 665.71, 665.72, 665.81, 665.91, 665.92, 666.02, 666.12, 666.22, 666.32, 667.02, 667.12, 668.01, 668.02, 668.11, 668.12, 668.21, 668.22, 668.81, 668.82, 668.91, 668.92, 669.01, 669.02, 669.11, 669.12, 669.21, 669.22, 669.32, 669.41, 669.42, 669.51, 669.61, 669.71, 669.81, 669.82, 669.91, 669.92"|"DATETIME"
"0014"|"Prenatal Care:  Anti-D Immune Globulin"|"A_7005"|"Delivery Live Births-Diagnosis"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c442"|"SNOMED-CT"|"07/09"|"102500002, 102501003, 102502005, 102503000, 102879009, 112071002, 112075006, 118185001, 118215003, 118216002, 13859001, 15898009, 169826009, 169828005, 169831006, 169836001, 169961004, 17333005, 199314001, 199317008, 199321001, 199325005, 199329004, 199330009, 199331008, 199334000, 199714004, 199718001, 200129000, 200130005, 200133007, 200134001, 200138003, 200141007, 200142000, 200144004, 200145003, 200146002, 200147006, 200148001, 200149009, 200150009, 200151008, 200154000, 20236002, 20272009, 21127004, 21243004, 23667007, 237313003, 24146004, 249032005, 249037004, 249141002, 249145006, 249161008, 249162001, 249195007, 267278005, 271368004, 271369007, 271370008, 271373005, 273984003, 274124007, 274125008, 274127000, 274128005, 274129002, 278094007, 278095008, 278096009, 28030000, 281050002, 281052005, 282020008, 288209009, 288210004, 288265000, 288266004, 289210008, 289216002, 289217006, 289218001, 289222006, 289223001, 289224007, 289226009, 289227000, 289228005, 289229002, 289230007, 289231006, 289232004, 289233009, 289234003, 289235002, 289236001, 289237005, 289238000, 289242002, 289247008, 289253008, 289256000, 289257009, 289258004, 289259007, 289261003, 289574008, 289699001, 289740006, 289762006, 289763001, 29997008, 302080006, 302253005, 302254004, 309469004, 35874009, 364738009, 366327005, 366328000, 366329008, 38250004, 390959009, 42783002, 42857002, 45384004, 45757002, 47574003, 48782003, 4886009, 49550006, 50758004, 52483005, 55466006, 58289000, 59403008, 6383007, 6893006, 71096001, 7888004, 8333008, 86803008, 90306000, 9343003"|"datetime"
