"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_196"|"birthdate"|"Individual characteristic"|"patient characteristic"|"A_c8"|"HL7"|"3.0"|"00110"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1141"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c327"|"GROUPING"||"A_c76, A_c78, A_c80"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1142"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c327"|"GROUPING"||"A_c76, A_c78, A_c80"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1143"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c327"|"GROUPING"||"A_c76, A_c78, A_c80"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1144"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c327"|"GROUPING"||"A_c76, A_c78, A_c80"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1179"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c76"|"ICD-10-CM"|"2010"|"E10.3, E10.31, E10.311, E10.319, E11.31, E11.311, E11.319, E11.32, E11.321, E11.329, E11.33, E11.331, E11.339, E11.34, E11.341, E11.349"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1180"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c78"|"ICD-9-CM"|"2009"|"362.01, 362.02, 362.03, 362.04, 362.05, 362.06"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1181"|"Diabetic Retinopathy"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c80"|"SNOMED-CT"|"7/2009"|"193349004, 193350004, 232020009, 232021008, 232022001, 232023006, 25093002, 25412000, 311782002, 312903003, 312904009, 312905005, 312906006, 312907002, 312908007, 312909004, 312912001, 314010006, 314011005, 314014002, 314015001, 390834004, 399625000, 399862001, 399863006, 399864000, 399865004, 399866003, 399868002, 399869005, 399870006, 399871005, 399872003, 399873008, 399874002, 399875001, 399876000, 399877009, 408409007, 408410002, 408411003, 408412005, 408413000, 408414006, 408415007, 408416008, 414892004, 414894003, 414908005, 414910007, 417677008, 420486006, 420789003, 421779007, 422034002, 4855003, 59276001, 62585004"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_272"|"Encounter Domiciliary"|"Encounter"|"encounter"|"A_c110"|"CPT"|"2010"|"99324, 99325, 99326, 99327, 99328, 99334, 99335, 99336, 99337"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_273"|"Encounter Nursing Facility"|"Encounter"|"encounter"|"A_c28"|"CPT"|"2010"|"99304, 99305, 99306, 99307, 99308, 99309, 99310"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_275"|"Encounter Office & Outpatient Consult"|"Encounter"|"encounter"|"A_c99"|"CPT"|"2010"|"99201, 99202, 99203, 99204, 99205, 99212, 99213, 99214, 99215, 99241, 99242, 99243, 99244, 99245"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_274"|"Encounter Ophthalmological Services"|"Encounter"|"encounter"|"A_c111"|"CPT"|"2010"|"92002, 92004, 92012, 92014"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1587"|"Level of Severity of Retinopathy Findings"|"Communication"|"communication provider to provider"|"A_c516"|"SNOMED-CT"|"07/09"|"193349004, 312903003, 312904009, 312905005, 390834004, 408411003, 408412005"|"datetime"
"0089"|"Diabetic Retinopathy: Communication with the Physician Managing On-going Diabetes Care"|"A_1588"|"Level of Severity of Retinopathy Findings"|"Communication"|"communication provider to provider"|"A_c516"|"SNOMED-CT"|"07/09"|"193349004, 312903003, 312904009, 312905005, 390834004, 408411003, 408412005"|"datetime"
