"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_183"|"birthdate"|"Individual characteristic"|"patient characteristic"|"A_c8"|"HL7"|"3.0"|"00110"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_271"|"Encounter Domiciliary"|"Encounter"|"encounter"|"A_c110"|"CPT"|"2010"|"99324, 99325, 99326, 99327, 99328, 99334, 99335, 99336, 99337"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_270"|"Encounter Nursing Facility"|"Encounter"|"encounter"|"A_c28"|"CPT"|"2010"|"99304, 99305, 99306, 99307, 99308, 99309, 99310"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_269"|"Encounter Office & Outpatient Consult"|"Encounter"|"encounter"|"A_c99"|"CPT"|"2010"|"99201, 99202, 99203, 99204, 99205, 99212, 99213, 99214, 99215, 99241, 99242, 99243, 99244, 99245"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_268"|"Encounter Ophthalmological Services"|"Encounter"|"encounter"|"A_c111"|"CPT"|"2010"|"92002, 92004, 92012, 92014"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_326"|"Measurement enddate"|"Measure timing"|"end: 12/31/yyyy 23:59:59 (prompt for year)"|"A_c130"||||
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_327"|"Measurement period"|"Measure timing"|"start of timing window"|"A_c131"||||
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_1047"|"Medical reason"|"Negation Rationale"|"procedure not done"|"A_c313"|"HL7"|"3.0"|"21703, 21704, 21738, 21745, 21747, 21815, 21990, 22259, 22261, 22855"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_1048"|"Medical reason"|"Negation Rationale"|"procedure not done"|"A_c313"|"HL7"|"3.0"|"21703, 21704, 21738, 21745, 21747, 21815, 21990, 22259, 22261, 22855"|"datetime"
"0086"|"Primary Open Angle Glaucoma (POAG): Optic Nerve Evaluation"|"A_1049"|"Medical reason"|"Negation Rationale"|"procedure not done"|"A_c313"|"HL7"|"3.0"|"21703, 21704, 21738, 21745, 21747, 21815, 21990, 22259, 22261, 22855"|"datetime"
